MusicXML Sağ El Transcript (RH only, repeat+volta+DC/DS/Coda, TS-based)
Generated UTC: 2025-09-29T16:18:24.741708+00:00
Linear measures: 78
Events: 815
Script version: 1.2.2
---
time_sec	dur_sec	pitches_sci	dyn	art
21.500	0.125	F5		
21.500	0.125	F4		
21.625	0.125	F5		
21.625	0.125	D4		
21.750	0.125	D5		
21.750	0.125	F4		
21.875	0.125	F5		
21.875	0.125	G4		
22.000	0.125	G5		
22.000	0.125	Bb3		
22.125	0.125	Bb4		
22.125	0.125	Bb3		
22.250	0.125	Bb4		
22.250	0.250	D5		staccato
22.500	0.250	D6		
22.500	0.250	A4		staccato
22.750	0.250	A5		
22.750	0.125	rest		
22.875	0.125	G#4		
23.000	0.125	G#5		
23.000	0.125	rest		
23.125	0.125	G4		
23.250	0.125	G5		
23.250	0.125	rest		
23.375	0.125	F4		
23.500	0.125	F5		
23.500	0.125	F4		
23.625	0.125	F5		
23.625	0.125	D4		
23.750	0.125	D5		
23.750	0.125	F4		
23.875	0.125	F5		
23.875	0.125	G4		
24.000	0.125	G5		
24.000	0.125	D4		
24.125	0.125	D5		
24.125	0.125	D4		
24.250	0.125	D5		
24.250	0.250	D5		staccato
24.500	0.250	D6		
24.500	0.250	A4		staccato
24.750	0.250	A5		
24.750	0.125	rest		
24.875	0.125	G#4		
25.000	0.125	G#5		
25.000	0.125	rest		
25.125	0.125	G4		
25.250	0.125	G5		
25.250	0.125	rest		
25.375	0.125	F4		
25.500	0.125	F5		
25.500	0.125	F4		
25.625	0.125	F5		
25.625	0.125	D4		
25.750	0.125	D5		
25.750	0.125	F4		
25.875	0.125	F5		
25.875	0.125	G4		
26.000	0.125	G5		
26.000	0.125	C4		
26.125	0.125	C5		
26.125	0.125	C4		
26.250	0.125	C5		
26.250	0.250	D5		staccato
26.500	0.250	D6		
26.500	0.250	A4		staccato
26.750	0.250	A5		
26.750	0.125	rest		
26.875	0.125	G#4		
27.000	0.125	G#5		
27.000	0.125	rest		
27.125	0.125	G4		
27.250	0.125	G5		
27.250	0.125	rest		
27.375	0.125	F4		
27.500	0.125	F5		
27.500	0.125	F4		
27.625	0.125	F5		
27.625	0.125	D4		
27.750	0.125	D5		
27.750	0.125	F4		
27.875	0.125	F5		
27.875	0.125	G4		
28.000	0.125	G5		
28.000	0.125	B3		
28.125	0.125	B4		
28.125	0.125	B3		
28.250	0.125	B4		
28.250	0.250	D5		staccato
28.500	0.250	D6		
28.500	0.250	A4		staccato
28.750	0.250	A5		
28.750	0.125	rest		
28.875	0.125	G#4		
29.000	0.125	G#5		
29.000	0.125	rest		
29.125	0.125	G4		
29.250	0.125	G5		
29.250	0.125	rest		
29.375	0.125	F4		
29.500	0.125	F5		
29.500	0.125	F4		
29.625	0.125	F5		
29.625	0.125	D4		
29.750	0.125	D5		
29.750	0.125	F4		
29.875	0.125	F5		
29.875	0.125	G4		
30.000	0.125	G5		
30.000	0.125	Bb3		
30.125	0.125	Bb4		
30.125	0.125	Bb3		
30.250	0.125	Bb4		
30.250	0.250	D5		staccato
30.500	0.250	D6		
30.500	0.250	A4		staccato
30.750	0.250	A5		
30.750	0.125	rest		
30.875	0.125	G#4		
31.000	0.125	G#5		
31.000	0.125	rest		
31.125	0.125	G4		
31.250	0.125	G5		
31.250	0.125	rest		
31.375	0.125	F4		
31.500	0.125	F5		
31.500	0.125	F4		
31.625	0.125	F5		
31.625	0.125	D4		
31.750	0.125	D5		
31.750	0.125	C5		
31.875	0.062	D5		
31.938	0.062	E5		
32.000	0.000	E5		
32.000	0.250	F5		
32.250	0.125	F5		
32.375	0.125	F5		
32.500	0.125	rest		
32.625	0.125	F5		
32.750	0.125	rest		
32.875	0.000	E5		
32.875	0.125	F5		
33.000	0.125	F5		
33.125	0.125	D5		
33.250	0.125	rest		
33.375	0.125	D5		
33.500	0.500	D5		
34.000	0.250	F5		
34.250	0.125	F5		
34.375	0.125	F5		
34.500	0.125	rest		
34.625	0.125	G5		
34.750	0.125	rest		
34.875	0.125	Ab5		
35.000	0.125	Ab5		
35.125	0.062	G5		
35.188	0.062	Ab5		
35.250	0.125	G5		staccato
35.375	0.125	D5		
35.500	0.125	F5		
35.625	0.125	G5		
35.750	0.250	rest		
36.000	0.250	F5		
36.250	0.125	F5		
36.375	0.125	F5		staccato
36.500	0.125	rest		
36.625	0.125	G5		
36.750	0.125	rest		
36.875	0.125	Ab5		
37.000	0.125	rest		
37.125	0.125	A5		staccato
37.250	0.125	rest		
37.375	0.125	C6		
37.500	0.125	rest		
37.625	0.125	A5		
37.750	0.250	A5		
38.000	0.250	D6		
38.250	0.250	D6		
38.500	0.125	D6		
38.625	0.125	A5		
38.750	0.125	D6		
38.875	0.125	C6		
39.000	0.375	C6		
39.375	0.125	C6		
39.500	0.125	G6		
39.500	0.500	C6		
40.000	0.500	G6		
40.000	0.250	F5		
40.250	0.250	A5		
40.250	0.125	F5		
40.375	0.125	A5		
40.375	0.125	F5		
40.500	0.125	A5		
40.500	0.125	rest		
40.625	0.125	F5		
40.750	0.125	A5		
40.750	0.125	rest		
40.875	0.000	E5		
40.875	0.000	G#5		
40.875	0.125	F5		
41.000	0.125	A5		
41.000	0.125	F5		
41.125	0.125	A5		
41.125	0.125	D5		
41.250	0.125	G5		
41.250	0.125	rest		
41.375	0.125	D5		
41.500	0.125	G5		
41.500	0.500	D5		
42.000	0.500	G5		
42.000	0.250	F5		
42.250	0.250	A5		
42.250	0.250	F5		
42.500	0.250	A5		
42.500	0.125	F5		
42.625	0.125	A5		
42.625	0.125	F5		staccato
42.750	0.125	A5		
42.750	0.125	rest		
42.875	0.125	D5		staccato
43.000	0.125	G5		
43.000	0.125	rest		
43.125	0.125	F5		staccato
43.250	0.125	A5		
43.250	0.125	rest		
43.375	0.125	E5		
43.500	0.125	D6		
43.500	0.125	E5		
43.625	0.125	D6		
43.625	0.125	D5		
43.750	0.125	A5		
43.750	0.250	C5		
44.000	0.250	G5		
44.000	0.250	F5		accent
44.250	0.250	D6		
44.250	0.250	A5		accent
44.500	0.250	G5		accent
44.750	0.250	F5		accent
45.000	0.250	E5		accent
45.250	0.250	C6		
45.250	0.250	G5		accent
45.500	0.250	F5		accent
45.750	0.250	E5		accent
46.000	0.250	G4		
46.250	0.250	Bb4		
46.250	0.125	Bb4		
46.375	0.125	D5		
46.375	0.250	C5		staccato
46.625	0.250	E5		
46.625	0.250	D5		staccato
46.875	0.250	F5		
46.875	0.125	E5		
47.000	0.125	C6		
47.000	1.000	E5		
48.000	1.000	C6		
48.000	1.000	rest		
49.000	0.125	D5		
49.125	0.125	F5		
49.125	0.125	Bb4		
49.250	0.125	D5		
49.250	0.125	D5		
49.375	0.125	F5		
49.375	0.125	D5		
49.500	0.125	G5		
49.500	0.125	D5		
49.625	0.125	Ab5		
49.625	0.125	D5		
49.750	0.125	G5		
49.750	0.125	D5		
49.875	0.125	F5		
49.875	0.125	Bb4		
50.000	0.125	D5		
50.000	0.062	F5		
50.062	0.062	Ab5		
50.062	0.062	E5		
50.125	0.062	G5		
50.125	0.125	D5		
50.250	0.250	D5		
50.500	0.250	F5		
50.500	1.000	E5		
51.500	1.000	G5		
51.500	0.125	G5		
51.625	0.250	G#5		
51.875	0.125	A5		
52.000	0.125	C6		
52.125	0.125	rest		
52.250	0.125	A5		
52.375	0.125	G#5		
52.500	0.125	G5		
52.625	0.125	F5		
52.750	0.125	D5		
52.875	0.125	E5		
53.000	0.250	F5		
53.250	0.250	G5		
53.500	0.250	A5		
53.750	0.250	C6		
54.000	0.250	Db6		
54.250	0.125	Ab5		
54.375	0.125	rest		
54.500	0.125	Ab5		
54.625	0.125	G5		
54.750	0.125	F5		
54.875	0.125	G5		
55.000	0.750	G5		
55.750	0.250	G5		
56.000	0.250	F4		
56.250	0.250	D5		
56.250	0.250	G4		
56.500	0.250	E5		
56.500	0.250	A4		
56.750	0.250	F5		
56.750	0.250	A5		
57.000	0.250	F6		
57.000	0.500	G5		
57.500	0.500	E6		
57.500	0.500	F5		
58.000	0.500	D6		
58.000	0.500	G5		
58.500	0.500	E6		
58.500	0.500	A5		
59.000	0.500	F6		
59.000	0.500	C6		
59.500	0.500	G6		
59.500	0.500	A5		
60.000	0.500	E6		
60.000	1.000	A6		
60.000	2.000	D6		
61.000	0.125	A6		
61.125	0.125	G#6		
61.250	0.125	G6		
61.375	0.125	F#6		
61.500	0.125	F6		
61.625	0.125	E6		
61.750	0.125	D#6		
61.875	0.125	D6		
62.000	0.500	G#5		
62.500	0.500	C#6		
62.500	0.500	G#5		
63.000	0.500	C#6		
63.000	0.500	D6		
63.000	1.000	Bb5		
64.000	1.000	D6		
64.000	1.000	Eb6		
64.000	1.000	rest		
65.000	0.125	D5		
65.125	0.125	F5		
65.125	0.125	Bb4		
65.250	0.125	D5		
65.250	0.125	D5		
65.375	0.125	F5		
65.375	0.125	D5		
65.500	0.125	G5		
65.500	0.125	D5		
65.625	0.125	Ab5		
65.625	0.125	D5		
65.750	0.125	G5		
65.750	0.125	D5		
65.875	0.125	F5		
65.875	0.125	Bb4		
66.000	0.125	D5		
66.000	0.062	F5		
66.062	0.062	Ab5		
66.062	0.062	E5		
66.125	0.062	G5		
66.125	0.125	D5		
66.250	0.250	D5		
66.500	0.250	F5		
66.500	1.000	E5		
67.500	1.000	G5		
67.500	0.125	G5		
67.625	0.250	G#5		
67.875	0.125	A5		
68.000	0.125	C6		
68.125	0.125	rest		
68.250	0.125	A5		
68.375	0.125	G#5		
68.500	0.125	G5		
68.625	0.125	F5		
68.750	0.125	D5		
68.875	0.125	E5		
69.000	0.250	F5		
69.250	0.250	G5		
69.500	0.250	A5		
69.750	0.250	C6		
70.000	0.250	Db6		
70.250	0.125	Ab5		
70.375	0.125	rest		
70.500	0.125	Ab5		
70.625	0.125	G5		
70.750	0.125	F5		
70.875	0.125	G5		
71.000	0.750	G5		
71.750	0.250	G5		
72.000	0.250	F4		
72.250	0.250	D5		
72.250	0.250	G4		
72.500	0.250	E5		
72.500	0.250	A4		
72.750	0.250	F5		
72.750	0.250	A5		
73.000	0.250	F6		
73.000	0.500	G5		
73.500	0.500	E6		
73.500	0.500	F5		
74.000	0.500	D6		
74.000	0.500	G5		
74.500	0.500	E6		
74.500	0.500	A5		
75.000	0.500	F6		
75.000	0.500	C6		
75.500	0.500	G6		
75.500	0.500	A5		
76.000	0.500	E6		
76.000	1.000	A6		
76.000	2.000	D6		
77.000	0.125	A6		
77.125	0.125	G#6		
77.250	0.125	G6		
77.375	0.125	F#6		
77.500	0.125	F6		
77.625	0.125	E6		
77.750	0.125	D#6		
77.875	0.125	D6		
78.000	0.500	G#5		
78.500	0.500	C#6		
78.500	0.500	G#5		
79.000	0.500	C#6		
79.000	0.500	D6		
79.000	1.000	Bb5		
80.000	1.000	D6		
80.000	1.000	Eb6		
80.000	1.500	Bb3		
81.500	0.500	F4		
82.000	1.000	E4		
83.000	1.000	D4		
84.000	2.000	F4		
86.000	2.000	rest		
88.000	1.500	Bb3		
89.500	0.500	F4		
90.000	1.000	E4		
91.000	1.000	D4		
92.000	2.000	D4		
94.000	0.500	D4		
94.500	1.000	D4		
95.500	0.500	D3		
96.000	1.500	Bb3		
97.500	0.500	F4		
98.000	1.000	E4		
99.000	1.000	D4		
100.000	2.000	F4		
102.000	0.125	G5		
102.125	0.125	D6		
102.250	0.125	F6		
102.375	0.125	D6		
102.500	0.250	G6		staccato
102.750	0.250	F6		staccato
103.000	0.125	D6		
103.125	0.125	C6		
103.250	0.125	rest		
103.375	0.125	A5		
103.500	0.125	A5		
103.625	0.125	G5		
103.750	0.125	A5		
103.875	0.125	C6		
104.000	1.500	Bb3		
105.500	0.500	F4		
106.000	1.000	E4		
107.000	1.000	D4		
108.000	0.250	D4		
108.250	0.250	F4		staccato
108.500	0.250	F5		
108.500	0.250	E4		staccato
108.750	0.250	E5		
108.750	0.125	rest		
108.875	0.125	C4		
109.000	0.125	C5		
109.000	0.125	rest		
109.125	0.125	E4		
109.250	0.125	E5		
109.250	0.125	rest		
109.375	0.125	D4		
109.500	0.125	D5		
109.500	0.125	D4		
109.625	0.125	D5		
109.625	0.125	G4		
109.750	0.125	A4		
109.875	0.125	C5		
110.000	0.250	rest		
110.250	0.250	F4		staccato
110.500	0.250	F5		
110.500	0.250	E4		staccato
110.750	0.250	E5		
110.750	0.125	rest		
110.875	0.125	C4		
111.000	0.125	C5		
111.000	0.125	rest		
111.125	0.125	E4		
111.250	0.125	E5		
111.250	0.125	rest		
111.375	0.125	D4		
111.500	0.125	D5		
111.500	0.125	D4		
111.625	0.125	D5		
111.625	0.125	G4		
111.750	0.125	A4		
111.875	0.125	C5		
112.000	2.000	rest		
114.000	2.000	rest		
116.000	2.000	rest		
118.000	2.000	rest		
120.000	2.000	rest		
122.000	2.000	rest		
124.000	2.000	rest		
126.000	2.000	rest		
128.000	2.000	rest		
130.000	2.000	rest		
132.000	2.000	rest		
134.000	2.000	rest		
136.000	2.000	rest		
138.000	2.000	rest		
140.000	0.125	D4		
140.125	0.125	D4		
140.250	0.250	D5		staccato
140.500	0.250	A4		staccato
140.750	0.125	rest		
140.875	0.125	G#4		
141.000	0.125	rest		
141.125	0.125	G4		
141.250	0.125	rest		
141.375	0.125	F4		
141.500	0.125	F4		
141.625	0.125	D4		
141.750	0.125	F4		
141.875	0.125	G4		
142.000	0.125	D4		
142.125	0.125	D4		
142.250	0.250	D5		staccato
142.500	0.250	A4		staccato
142.750	0.125	rest		
142.875	0.125	G#4		
143.000	0.125	rest		
143.125	0.125	G4		
143.250	0.125	rest		
143.375	0.125	F4		
143.500	0.125	F4		
143.625	0.125	D4		
143.750	0.125	F4		
143.875	0.125	G4		
144.000	0.125	Bb3		
144.125	0.125	Bb3		
144.250	0.250	D5		staccato
144.500	0.250	A4		staccato
144.750	0.125	rest		
144.875	0.125	G#4		
145.000	0.125	rest		
145.125	0.125	G4		
145.250	0.125	rest		
145.375	0.125	F4		
145.500	0.125	F4		
145.625	0.125	D4		
145.750	0.125	F4		
145.875	0.125	G4		
146.000	0.125	C4		
146.125	0.125	C4		
146.250	0.250	D5		staccato
146.500	0.250	A4		staccato
146.750	0.125	rest		
146.875	0.125	G#4		
147.000	0.125	rest		
147.125	0.125	G4		
147.250	0.125	rest		
147.375	0.125	F4		
147.500	0.125	F4		
147.625	0.125	D4		
147.750	0.125	F4		
147.875	0.125	G4		
148.000	0.125	D4		
148.125	0.125	D4		
148.250	0.250	D5		staccato
148.500	0.250	A4		staccato
148.750	0.125	rest		
148.875	0.125	G#4		
149.000	0.125	rest		
149.125	0.125	G4		
149.250	0.125	rest		
149.375	0.125	F4		
149.500	0.125	F4		
149.625	0.125	D4		
149.750	0.125	F4		
149.875	0.125	G4		
150.000	0.125	D4		
150.125	0.125	D4		
150.250	0.250	D5		staccato
150.500	0.250	A4		staccato
150.750	0.125	rest		
150.875	0.125	G#4		
151.000	0.125	rest		
151.125	0.125	G4		
151.250	0.125	rest		
151.375	0.125	F4		
151.500	0.125	F4		
151.625	0.125	D4		
151.750	0.125	F4		
151.875	0.125	G4		
152.000	0.125	Bb3		
152.125	0.125	Bb3		
152.250	0.250	D5		staccato
152.500	0.250	A4		staccato
152.750	0.125	rest		
152.875	0.125	G#4		
153.000	0.125	rest		
153.125	0.125	G4		
153.250	0.125	rest		
153.375	0.125	F4		
153.500	0.125	F4		
153.625	0.125	D4		
153.750	0.125	F4		
153.875	0.125	G4		
154.000	0.125	C4		
154.125	0.125	C4		
154.250	0.250	D5		staccato
154.500	0.250	A4		staccato
154.750	0.125	rest		
154.875	0.125	G#4		
155.000	0.125	rest		
155.125	0.125	G4		
155.250	0.125	rest		
155.375	0.125	F4		
155.500	0.125	F4		
155.625	0.125	D4		
155.750	0.125	F4		
155.875	0.125	G4		
