Piano Sonata No.11 - Rondo alla Turca (Enhanced Export)
Generated UTC: 2025-09-18T05:05:26.838921
Source: HAHA.musicxml
Linear measures: 233
Events: 2631
---
time_sec	dur_sec	hand	pitches_sci	dyn	art
19.000	0.250	LH	A2		
19.000	0.250	RH	E5		
19.250	0.250	LH	A3		
19.250	0.125	RH	F5		
19.375	0.125	RH	E5		
19.500	0.250	LH	C3		
19.500	0.125	RH	D5		
19.625	0.125	RH	C5		
19.750	0.250	LH	C4		
19.750	0.500	RH	B4		
20.000	0.500	LH	E3		
20.250	0.250	RH	A4		staccato
20.500	0.500	LH	rest		
20.500	0.250	RH	C5		
20.750	0.250	RH	B4		staccato
21.000	0.250	LH	A3		
21.000	0.250	RH	D5		
21.250	0.250	LH	C4		
21.250	0.250	RH	G#4		
21.500	0.250	LH	E4		
21.500	0.250	RH	E4		
21.750	0.250	LH	C4		
21.750	0.250	RH	C5		staccato
22.000	0.250	LH	E4		
22.000	0.250	RH	E5		
22.250	0.250	LH	C4		
22.250	0.250	RH	C5		staccato
22.500	0.250	LH	E4		
22.500	0.250	RH	E5		
22.750	0.250	LH	A3		
22.750	0.125	RH	F5		
22.875	0.125	RH	E5		
23.000	0.250	LH	C4		
23.000	0.125	RH	D5		
23.125	0.125	RH	C5		
23.250	0.250	LH	E4		
23.250	0.500	RH	G#4		
23.500	0.250	LH	C4		
23.750	0.250	LH	E4		
23.750	0.625	RH	B4		
24.000	0.250	LH	C4		
24.250	0.250	LH	E4		
24.375	0.125	RH	A4		
24.500	0.250	LH	A3		
24.500	0.125	RH	G#4		
24.625	0.125	RH	A4		
24.750	0.250	LH	C4		
24.750	0.250	RH	C5		staccato
25.000	0.250	LH	E4		
25.000	0.250	RH	rest		
25.250	0.250	LH	A3		
25.250	0.125	RH	D5		
25.375	0.125	RH	C5		
25.500	0.250	LH	C4		
25.500	0.125	RH	B4		
25.625	0.125	RH	C5		
25.750	0.250	LH	E4		
25.750	0.250	RH	E5		staccato
26.000	0.250	LH	F3		
26.000	0.250	RH	rest		
26.250	0.250	LH	A3		
26.250	0.125	RH	F5		
26.375	0.125	RH	E5		
26.500	0.250	LH	D#4		
26.500	0.125	RH	D#5		
26.625	0.125	RH	E5		
26.750	0.250	LH	A3		
26.750	0.125	RH	B5		
26.875	0.125	RH	A5		
27.000	0.250	LH	D#4		
27.000	0.125	RH	G#5		
27.125	0.125	RH	A5		
27.250	0.250	LH	A3		
27.250	0.125	RH	B5		
27.375	0.125	RH	A5		
27.500	0.250	LH	D#4		
27.500	0.125	RH	G#5		
27.625	0.125	RH	A5		
27.750	0.250	LH	E3		
27.750	0.500	RH	C6		
28.000	0.250	LH	A3		
28.250	0.250	LH	E4		
28.250	0.250	RH	A5		staccato
28.500	0.250	LH	D3		
28.500	0.250	RH	B5		staccato
28.750	0.250	LH	F3		
28.750	0.250	RH	C6		staccato
29.000	0.250	LH	B3		
29.000	0.250	RH	B5		staccato
29.250	0.250	LH	C3		
29.250	0.250	RH	A5		staccato
29.500	0.250	LH	E3		
29.500	0.250	RH	G#5		staccato
29.750	0.250	LH	A3		
29.750	0.250	RH	A5		staccato
30.000	0.250	LH	D3		
30.000	0.250	RH	E5		staccato
30.250	0.250	LH	F3		
30.250	0.250	RH	F5		staccato
30.500	0.250	LH	B3		
30.500	0.250	RH	D5		staccato
30.750	0.250	LH	E3		
30.750	0.500	RH	C5		
31.000	0.250	LH	A3		
31.250	0.250	LH	E3		
31.250	0.375	RH	B4		
31.500	0.250	LH	A3		
31.625	0.062	RH	A4		
31.688	0.062	RH	B4		
31.750	0.250	LH	E3		
31.750	0.062	RH	C5		
31.812	0.062	RH	B4		
31.875	0.062	RH	C5		
31.938	0.062	RH	B4		
32.000	0.250	LH	G#3		
32.000	0.062	RH	C5		
32.062	0.062	RH	B4		
32.125	0.500	RH	A4		
32.250	0.250	LH	E3		
32.500	0.250	LH	G#3		
32.625	0.250	RH	C5		staccato
32.750	0.500	LH	A2		
32.875	0.250	RH	E5		
33.125	0.250	RH	D5		staccato
33.250	0.500	LH	A3		
33.375	0.250	RH	F5		
33.625	0.250	RH	E5		staccato
33.750	0.500	LH	rest		
33.875	0.250	RH	G5		
34.125	0.250	RH	E5		staccato
34.250	0.250	LH	C3		
34.375	0.250	RH	G5		
34.500	0.250	LH	C4		
34.625	0.125	RH	A5		
34.750	0.250	LH	E3		
34.750	0.125	RH	G5		
34.875	0.125	RH	F5		
35.000	0.250	LH	E4		
35.000	0.125	RH	E5		
35.125	0.500	RH	D5		
35.250	0.500	LH	G3		
35.625	0.250	RH	C5		staccato
35.750	0.500	LH	rest		
35.875	0.250	RH	E5		
36.125	0.250	RH	D5		staccato
36.250	0.250	LH	C3		
36.375	0.250	RH	F5		
36.500	0.250	LH	C4		
36.625	0.250	RH	B4		
36.750	0.250	LH	E3		
36.875	0.250	RH	G4		
37.000	0.250	LH	E4		
37.125	0.250	RH	E5		staccato
37.250	0.500	LH	G3		
37.375	0.250	RH	G5		
37.625	0.250	RH	E5		staccato
37.750	0.500	LH	rest		
37.875	0.250	RH	G5		
38.125	0.125	RH	A5		
38.250	0.250	LH	A2		
38.250	0.125	RH	G5		
38.375	0.125	RH	F5		
38.500	0.250	LH	A3		
38.500	0.125	RH	E5		
38.625	0.500	RH	B4		
38.750	0.250	LH	C3		
39.000	0.250	LH	C4		
39.125	0.500	RH	D5		
39.250	0.500	LH	E3		
39.625	0.250	RH	A4		staccato
39.750	0.500	LH	rest		
39.875	0.250	RH	C5		
40.125	0.250	RH	B4		staccato
40.250	0.250	LH	A2		
40.375	0.250	RH	D5		
40.500	0.250	LH	A3		
40.625	0.250	RH	C5		staccato
40.750	0.250	LH	C3		
40.875	0.250	RH	E5		
41.000	0.250	LH	C4		
41.125	0.250	RH	C5		staccato
41.250	0.500	LH	E3		
41.375	0.250	RH	E5		
41.625	0.125	RH	F5		
41.750	0.500	LH	rest		
41.750	0.125	RH	E5		
41.875	0.125	RH	D5		
42.000	0.125	RH	C5		
42.125	0.500	RH	B4		
42.250	0.250	LH	A3		
42.500	0.250	LH	C4		
42.625	0.250	RH	A4		staccato
42.750	0.250	LH	E4		
42.875	0.250	RH	C5		
43.000	0.250	LH	C4		
43.125	0.250	RH	B4		staccato
43.250	0.250	LH	E4		
43.375	0.250	RH	D5		
43.500	0.250	LH	C4		
43.625	0.250	RH	G#4		
43.750	0.250	LH	E4		
43.875	0.250	RH	E4		
44.000	0.250	LH	A3		
44.125	0.250	RH	C5		staccato
44.250	0.250	LH	C4		
44.375	0.250	RH	E5		
44.500	0.250	LH	E4		
44.625	0.250	RH	C5		staccato
44.750	0.250	LH	C4		
44.875	0.250	RH	E5		
45.000	0.250	LH	E4		
45.125	0.125	RH	F5		
45.250	0.250	LH	C4		
45.250	0.125	RH	E5		
45.375	0.125	RH	D5		
45.500	0.250	LH	E4		
45.500	0.125	RH	C5		
45.625	0.500	RH	G#4		
45.750	0.250	LH	A3		
46.000	0.250	LH	C4		
46.125	0.625	RH	B4		
46.250	0.250	LH	E4		
46.500	0.250	LH	A3		
46.750	0.250	LH	C4		
46.750	0.125	RH	A4		
46.875	0.125	RH	G#4		
47.000	0.250	LH	E4		
47.000	0.125	RH	A4		
47.125	0.250	RH	C5		staccato
47.250	0.250	LH	F3		
47.375	0.250	RH	rest		
47.500	0.250	LH	A3		
47.625	0.125	RH	D5		
47.750	0.250	LH	D#4		
47.750	0.125	RH	C5		
47.875	0.125	RH	B4		
48.000	0.250	LH	A3		
48.000	0.125	RH	C5		
48.125	0.250	RH	E5		staccato
48.250	0.250	LH	D#4		
48.375	0.250	RH	rest		
48.500	0.250	LH	A3		
48.625	0.125	RH	F5		
48.750	0.250	LH	D#4		
48.750	0.125	RH	E5		
48.875	0.125	RH	D#5		
49.000	0.250	LH	E3		
49.000	0.125	RH	E5		
49.125	0.125	RH	B5		
49.250	0.250	LH	A3		
49.250	0.125	RH	A5		
49.375	0.125	RH	G#5		
49.500	0.250	LH	E4		
49.500	0.125	RH	A5		
49.625	0.125	RH	B5		
49.750	0.250	LH	D3		
49.750	0.125	RH	A5		
49.875	0.125	RH	G#5		
50.000	0.250	LH	F3		
50.000	0.125	RH	A5		
50.125	0.500	RH	C6		
50.250	0.250	LH	B3		
50.500	0.250	LH	C3		
50.625	0.250	RH	A5		staccato
50.750	0.250	LH	E3		
50.875	0.250	RH	B5		staccato
51.000	0.250	LH	A3		
51.125	0.250	RH	C6		staccato
51.250	0.250	LH	D3		
51.375	0.250	RH	B5		staccato
51.500	0.250	LH	F3		
51.625	0.250	RH	A5		staccato
51.750	0.250	LH	B3		
51.875	0.250	RH	G#5		staccato
52.000	0.250	LH	E3		
52.125	0.250	RH	A5		staccato
52.250	0.250	LH	A3		
52.375	0.250	RH	E5		staccato
52.500	0.250	LH	E3		
52.625	0.250	RH	F5		staccato
52.750	0.250	LH	A3		
52.875	0.250	RH	D5		staccato
53.000	0.250	LH	E3		
53.125	0.500	RH	C5		
53.250	0.250	LH	G#3		
53.500	0.250	LH	E3		
53.625	0.375	RH	B4		
53.750	0.250	LH	G#3		
54.000	0.500	LH	A2		
54.000	0.062	RH	A4		
54.062	0.062	RH	B4		
54.125	0.062	RH	C5		
54.188	0.062	RH	B4		
54.250	0.062	RH	C5		
54.312	0.062	RH	B4		
54.375	0.062	RH	C5		
54.438	0.062	RH	B4		
54.500	0.500	LH	A3		
54.500	0.500	RH	A4		
55.000	0.500	LH	rest		
55.000	0.250	RH	A4		
55.250	0.250	RH	A5		
55.500	0.000	LH	A2		
55.500	0.000	LH	C#3		
55.500	0.000	LH	E3		
55.500	1.000	LH	A3		
55.500	0.250	RH	B4		
55.750	0.250	RH	B5		
56.000	0.500	RH	C#5		
56.500	0.000	LH	A2		
56.500	0.000	LH	C#3		
56.500	0.000	LH	E3		
56.500	1.000	LH	A3		
56.500	0.500	RH	C#6		
57.000	0.250	RH	A4		
57.250	0.250	RH	A5		
57.500	0.000	LH	D2		
57.500	0.000	LH	F#2		
57.500	0.000	LH	A2		
57.500	0.500	LH	D3		
57.500	0.250	RH	B4		
57.750	0.250	RH	B5		
58.000	0.000	LH	D#2		
58.000	0.000	LH	F#2		
58.000	0.000	LH	A2		
58.000	0.500	LH	D#3		
58.000	0.250	RH	C#5		
58.250	0.250	RH	C#6		
58.500	0.000	LH	E2		
58.500	0.000	LH	G#2		
58.500	0.000	LH	B2		
58.500	1.000	LH	E3		
58.500	0.250	RH	B4		
58.750	0.250	RH	B5		
59.000	0.250	RH	A4		
59.250	0.250	RH	A5		
59.500	0.000	LH	A2		
59.500	0.000	LH	C#3		
59.500	0.000	LH	E3		
59.500	1.000	LH	A3		
59.500	0.250	RH	G#4		
59.750	0.250	RH	G#5		
60.000	0.250	RH	F#4		
60.250	0.250	RH	F#5		
60.500	0.000	LH	A2		
60.500	0.000	LH	C#3		
60.500	0.000	LH	E3		
60.500	1.000	LH	A3		
60.500	0.250	RH	G#4		
60.750	0.250	RH	G#5		
61.000	0.250	RH	A4		
61.250	0.250	RH	A5		
61.500	0.000	LH	D2		
61.500	0.000	LH	F#2		
61.500	0.000	LH	A2		
61.500	0.500	LH	D3		
61.500	0.250	RH	B4		
61.750	0.250	RH	B5		
62.000	0.000	LH	E2		
62.000	0.000	LH	G#2		
62.000	0.000	LH	B2		
62.000	0.500	LH	E3		
62.000	0.250	RH	G#4		
62.250	0.250	RH	G#5		
62.500	0.500	LH	A2		
62.500	0.250	RH	E4		
62.750	0.250	RH	E5		
63.000	0.500	LH	rest		
63.000	0.250	RH	A4		
63.250	0.250	RH	A5		
63.500	0.000	LH	A2		
63.500	0.000	LH	C#3		
63.500	0.000	LH	E3		
63.500	1.000	LH	A3		
63.500	0.250	RH	B4		
63.750	0.250	RH	B5		
64.000	0.500	RH	C#5		
64.500	0.000	LH	A2		
64.500	0.000	LH	C#3		
64.500	0.000	LH	E3		
64.500	1.000	LH	A3		
64.500	0.500	RH	C#6		
65.000	0.250	RH	A4		
65.250	0.250	RH	A5		
65.500	0.000	LH	D2		
65.500	0.000	LH	F#2		
65.500	0.000	LH	A2		
65.500	0.500	LH	D3		
65.500	0.250	RH	B4		
65.750	0.250	RH	B5		
66.000	0.000	LH	D#2		
66.000	0.000	LH	F#2		
66.000	0.000	LH	A2		
66.000	0.500	LH	D#3		
66.000	0.250	RH	C#5		
66.250	0.250	RH	C#6		
66.500	0.000	LH	E2		
66.500	0.000	LH	G#2		
66.500	0.000	LH	B2		
66.500	1.000	LH	E3		
66.500	0.250	RH	B4		
66.750	0.250	RH	B5		
67.000	0.250	RH	A4		
67.250	0.250	RH	A5		
67.500	0.000	LH	A2		
67.500	0.000	LH	C#3		
67.500	0.000	LH	E3		
67.500	1.000	LH	A3		
67.500	0.250	RH	G#4		
67.750	0.250	RH	G#5		
68.000	0.250	RH	F#4		
68.250	0.250	RH	F#5		
68.500	0.000	LH	A2		
68.500	0.000	LH	C#3		
68.500	0.000	LH	E3		
68.500	1.000	LH	A3		
68.500	0.250	RH	B4		
68.750	0.250	RH	B5		
69.000	0.250	RH	G#4		
69.250	0.250	RH	G#5		
69.500	0.000	LH	D2		
69.500	0.000	LH	F#2		
69.500	0.000	LH	A2		
69.500	0.500	LH	D3		
69.500	0.250	RH	E4		
69.750	0.250	RH	E5		
70.000	0.000	LH	E2		
70.000	0.000	LH	G#2		
70.000	0.000	LH	B2		
70.000	0.500	LH	E3		
70.000	0.500	RH	A4		
70.500	0.500	LH	A2		
70.500	0.500	RH	A5		
71.000	0.500	LH	rest		
71.000	0.250	RH	A4		
71.250	0.250	RH	A5		
71.500	0.250	LH	F#3		
71.500	0.250	RH	B4		
71.750	0.250	LH	A3		
71.750	0.250	RH	B5		
72.000	0.250	LH	C#4		
72.000	0.500	RH	C#5		
72.250	0.250	LH	A3		
72.500	0.250	LH	C#4		
72.500	0.500	RH	C#6		
72.750	0.250	LH	A3		
73.000	0.250	LH	C#4		
73.000	0.250	RH	A4		
73.250	0.250	LH	G#3		
73.250	0.250	RH	A5		
73.500	0.250	LH	B3		
73.500	0.250	RH	B4		
73.750	0.250	LH	C#4		
73.750	0.250	RH	B5		
74.000	0.250	LH	B3		
74.000	0.250	RH	C#5		
74.250	0.250	LH	C#4		
74.250	0.250	RH	C#6		
74.500	0.250	LH	B3		
74.500	0.250	RH	B4		
74.750	0.250	LH	C#4		
74.750	0.250	RH	B5		
75.000	0.250	LH	F#3		
75.000	0.250	RH	A4		
75.250	0.250	LH	A3		
75.250	0.250	RH	A5		
75.500	0.250	LH	C#4		
75.500	0.250	RH	G#4		
75.750	0.250	LH	A3		
75.750	0.250	RH	G#5		
76.000	0.250	LH	C#4		
76.000	0.250	RH	F#4		
76.250	0.250	LH	A3		
76.250	0.250	RH	F#5		
76.500	0.250	LH	C#4		
76.500	0.250	RH	G#4		
76.750	0.250	LH	E#3		
76.750	0.250	RH	G#5		
77.000	0.250	LH	G#3		
77.000	0.250	RH	A4		
77.250	0.250	LH	C#4		
77.250	0.250	RH	A5		
77.500	0.250	LH	G#3		
77.500	0.250	RH	B4		
77.750	0.250	LH	C#4		
77.750	0.250	RH	B5		
78.000	0.250	LH	G#3		
78.000	0.250	RH	G#4		
78.250	0.250	LH	C#4		
78.250	0.250	RH	G#5		
78.500	0.250	LH	F#3		
78.500	0.250	RH	E4		
78.750	0.250	LH	A3		
78.750	0.250	RH	E5		
79.000	0.250	LH	C#4		
79.000	0.250	RH	A4		
79.250	0.250	LH	A3		
79.250	0.250	RH	A5		
79.500	0.250	LH	C#4		
79.500	0.250	RH	B4		
79.750	0.250	LH	A3		
79.750	0.250	RH	B5		
80.000	0.250	LH	C#4		
80.000	0.500	RH	C#5		
80.250	0.250	LH	G#3		
80.500	0.250	LH	C#4		
80.500	0.500	RH	C#6		
80.750	0.250	LH	E4		
81.000	0.250	LH	C#4		
81.000	0.250	RH	A4		
81.250	0.250	LH	E4		
81.250	0.250	RH	A5		
81.500	0.250	LH	C#4		
81.500	0.250	RH	B4		
81.750	0.250	LH	E4		
81.750	0.250	RH	B5		
82.000	0.250	LH	G#3		
82.000	0.250	RH	C#5		
82.250	0.250	LH	D#4		
82.250	0.250	RH	C#6		
82.500	0.250	LH	F#4		
82.500	0.250	RH	B4		
82.750	0.250	LH	D#4		
82.750	0.250	RH	B5		
83.000	0.250	LH	F#4		
83.000	0.250	RH	A4		
83.250	0.250	LH	D#4		
83.250	0.250	RH	A5		
83.500	0.250	LH	F#4		
83.500	0.250	RH	G#4		
83.750	0.500	LH	C#4		
83.750	0.250	RH	G#5		
84.000	0.250	RH	F#4		
84.250	0.500	LH	E4		
84.250	0.250	RH	F#5		
84.500	0.250	RH	B4		
84.750	0.500	LH	rest		
84.750	0.250	RH	B5		
85.000	0.250	RH	G#4		
85.250	0.250	LH	F#3		
85.250	0.250	RH	G#5		
85.500	0.250	LH	A3		
85.500	0.250	RH	E4		
85.750	0.250	LH	C#4		
85.750	0.250	RH	E5		
86.000	0.250	LH	A3		
86.000	0.500	RH	A4		
86.250	0.250	LH	C#4		
86.500	0.250	LH	A3		
86.500	0.500	RH	A5		
86.750	0.250	LH	C#4		
87.000	0.250	LH	G#3		
87.000	0.125	RH	C#6		
87.125	0.125	RH	D6		
87.250	0.250	LH	B3		
87.250	0.125	RH	C#6		
87.375	0.125	RH	B5		
87.500	0.250	LH	C#4		
87.500	0.125	RH	A5		
87.625	0.125	RH	B5		
87.750	0.250	LH	B3		
87.750	0.125	RH	A5		
87.875	0.125	RH	G#5		
88.000	0.250	LH	C#4		
88.000	0.125	RH	F#5		
88.125	0.125	RH	A5		
88.250	0.250	LH	B3		
88.250	0.125	RH	G#5		
88.375	0.125	RH	F#5		
88.500	0.250	LH	C#4		
88.500	0.125	RH	E#5		
88.625	0.125	RH	F#5		
88.750	0.250	LH	F#3		
88.750	0.125	RH	G#5		
88.875	0.125	RH	E#5		
89.000	0.250	LH	A3		
89.000	0.125	RH	C#5		
89.125	0.125	RH	D#5		
89.250	0.250	LH	C#4		
89.250	0.125	RH	E#5		
89.375	0.125	RH	C#5		
89.500	0.250	LH	A3		
89.500	0.125	RH	F#5		
89.625	0.125	RH	E#5		
89.750	0.250	LH	C#4		
89.750	0.125	RH	F#5		
89.875	0.125	RH	G#5		
90.000	0.250	LH	A3		
90.000	0.125	RH	A5		
90.125	0.125	RH	G#5		
90.250	0.250	LH	C#4		
90.250	0.125	RH	A5		
90.375	0.125	RH	B5		
90.500	0.250	LH	E#3		
90.500	0.125	RH	C#6		
90.625	0.125	RH	B#5		
90.750	0.250	LH	G#3		
90.750	0.125	RH	C#6		
90.875	0.125	RH	B#5		
91.000	0.250	LH	C#4		
91.000	0.125	RH	C#6		
91.125	0.125	RH	D6		
91.250	0.250	LH	G#3		
91.250	0.125	RH	C#6		
91.375	0.125	RH	B5		
91.500	0.250	LH	C#4		
91.500	0.125	RH	A5		
91.625	0.125	RH	B5		
91.750	0.250	LH	G#3		
91.750	0.125	RH	A5		
91.875	0.125	RH	G#5		
92.000	0.250	LH	C#4		
92.000	0.125	RH	F#5		
92.125	0.125	RH	A5		
92.250	0.250	LH	F#3		
92.250	0.125	RH	G#5		
92.375	0.125	RH	F#5		
92.500	0.250	LH	A3		
92.500	0.125	RH	E5		
92.625	0.125	RH	F#5		
92.750	0.250	LH	C#4		
92.750	0.125	RH	G#5		
92.875	0.125	RH	E5		
93.000	0.250	LH	A3		
93.000	0.125	RH	C#5		
93.125	0.125	RH	D#5		
93.250	0.250	LH	C#4		
93.250	0.125	RH	E5		
93.375	0.125	RH	C#5		
93.500	0.250	LH	A3		
93.500	0.125	RH	D#5		
93.625	0.125	RH	E5		
93.750	0.250	LH	C#4		
93.750	0.125	RH	F#5		
93.875	0.125	RH	D#5		
94.000	0.250	LH	G#3		
94.000	0.125	RH	B#4		
94.125	0.125	RH	C#5		
94.250	0.250	LH	C#4		
94.250	0.125	RH	D#5		
94.375	0.125	RH	B#4		
94.500	0.250	LH	E4		
94.500	0.500	RH	C#5		
94.750	0.250	LH	C#4		
95.000	0.250	LH	E4		
95.000	0.125	RH	C#6		
95.125	0.125	RH	D6		
95.250	0.250	LH	C#4		
95.250	0.125	RH	C#6		
95.375	0.125	RH	B5		
95.500	0.250	LH	E4		
95.500	0.125	RH	A5		
95.625	0.125	RH	B5		
95.750	0.250	LH	G#3		
95.750	0.125	RH	A5		
95.875	0.125	RH	G#5		
96.000	0.250	LH	D#4		
96.000	0.125	RH	F#5		
96.125	0.125	RH	A5		
96.250	0.250	LH	F#4		
96.250	0.125	RH	G#5		
96.375	0.125	RH	F#5		
96.500	0.250	LH	D#4		
96.500	0.125	RH	E#5		
96.625	0.125	RH	F#5		
96.750	0.250	LH	F#4		
96.750	0.125	RH	G#5		
96.875	0.125	RH	E#5		
97.000	0.250	LH	D#4		
97.000	0.125	RH	C#5		
97.125	0.125	RH	D#5		
97.250	0.250	LH	F#4		
97.250	0.125	RH	E#5		
97.375	0.125	RH	C#5		
97.500	0.500	LH	C#4		
97.500	0.125	RH	F#5		
97.625	0.125	RH	E#5		
97.750	0.125	RH	F#5		
97.875	0.125	RH	G#5		
98.000	0.500	LH	E4		
98.000	0.125	RH	A5		
98.125	0.125	RH	G#5		
98.250	0.125	RH	A5		
98.375	0.125	RH	B5		
98.500	0.500	LH	rest		
98.500	0.125	RH	C#6		
98.625	0.125	RH	B#5		
98.750	0.125	RH	C#6		
98.875	0.125	RH	B#5		
99.000	0.250	LH	A3		
99.000	0.125	RH	C#6		
99.125	0.125	RH	D6		
99.250	0.250	LH	C#4		
99.250	0.125	RH	C#6		
99.375	0.125	RH	B5		
99.500	0.250	LH	E4		
99.500	0.125	RH	A5		
99.625	0.125	RH	B5		
99.750	0.250	LH	C#4		
99.750	0.125	RH	A5		
99.875	0.125	RH	G#5		
100.000	0.250	LH	E4		
100.000	0.125	RH	F#5		
100.125	0.125	RH	A5		
100.250	0.250	LH	C#4		
100.250	0.125	RH	G#5		
100.375	0.125	RH	F#5		
100.500	0.250	LH	E4		
100.500	0.125	RH	E5		
100.625	0.125	RH	F#5		
100.750	0.250	LH	B3		
100.750	0.125	RH	G#5		
100.875	0.125	RH	E5		
101.000	0.250	LH	D4		
101.000	0.125	RH	C#5		
101.125	0.125	RH	D#5		
101.250	0.250	LH	E4		
101.250	0.125	RH	E5		
101.375	0.125	RH	C#5		
101.500	0.250	LH	G#3		
101.500	0.125	RH	D#5		
101.625	0.125	RH	E5		
101.750	0.250	LH	D4		
101.750	0.125	RH	F#5		
101.875	0.125	RH	D#5		
102.000	0.250	LH	E4		
102.000	0.125	RH	B#4		
102.125	0.125	RH	C#5		
